OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
0.484292 -0.838818 -0.000427961 0.000359804 0.177743 36.4854 36.688 4.84292 -8.38818 -429.84 
0.475528 -0.823639 -0.000440174 0.000427709 0.178144 36.4953 36.6927 4.75528 -8.23639 -422.115 
0.464888 -0.80521 -0.000448811 0.000475643 0.17842 36.5021 36.6959 4.64888 -8.0521 -412.677 
0.452414 -0.783603 -0.000454938 0.000509597 0.178611 36.5069 36.6981 4.52414 -7.83604 -401.584 
0.438153 -0.758904 -0.000459311 0.000533812 0.178747 36.5103 36.6997 4.38154 -7.58904 -388.89 
0.422164 -0.73121 -0.000462466 0.000551269 0.178845 36.5128 36.7008 4.22164 -7.3121 -374.651 
0.404509 -0.70063 -0.000464778 0.000564054 0.178919 36.5146 36.7016 4.04509 -7.0063 -358.925 
0.385257 -0.667284 -0.000466509 0.000573627 0.178977 36.5161 36.7023 3.85257 -6.67285 -341.775 
0.364485 -0.631306 -0.000467845 0.000581009 0.179026 36.5172 36.703 3.64485 -6.31306 -323.269 
0.342274 -0.592836 -0.000468915 0.000586921 0.179069 36.5183 36.7035 3.42274 -5.92836 -303.481 
0.318712 -0.552026 -0.000469812 0.000591873 0.17911 36.5192 36.7041 3.18712 -5.52026 -282.49 
0.293893 -0.509037 -0.000470601 0.000596235 0.179151 36.5201 36.7047 2.93893 -5.09038 -260.378 
0.267914 -0.46404 -0.000471334 0.00060028 0.179194 36.521 36.7053 2.67914 -4.64041 -237.232 
0.240877 -0.417211 -0.000472047 0.000604218 0.179241 36.522 36.706 2.40877 -4.17212 -213.145 
0.21289 -0.368736 -0.000472772 0.000608217 0.179292 36.5231 36.7068 2.1289 -3.68737 -188.211 
0.184063 -0.318806 -0.000473534 0.000612421 0.179351 36.5244 36.7077 1.84063 -3.18806 -162.529 
0.154509 -0.267617 -0.000474357 0.000616961 0.179418 36.5258 36.7087 1.54509 -2.67618 -136.2 
0.124345 -0.215372 -0.000475265 0.000621963 0.179497 36.5274 36.71 1.24346 -2.15373 -109.329 
0.093691 -0.162278 -0.00047628 0.000627559 0.17959 36.5293 36.7115 0.936913 -1.62278 -82.0218 
0.0626669 -0.108542 -0.000477429 0.000633885 0.179701 36.5316 36.7133 0.626672 -1.08543 -54.3871 
0.0313956 -0.0543787 -0.000478739 0.000641093 0.179834 36.5343 36.7154 0.313959 -0.543793 -26.5347 
3.14159e-07 -5.4414e-07 -0.00048024 0.000649344 0.179996 36.5376 36.7181 6.28319e-06 -1.08828e-05 1.42403 
-0.0313949 0.0543776 -0.000481964 0.000658814 0.180195 36.5416 36.7213 -0.313946 0.543771 29.3766 
-0.0626663 0.108541 -0.000483945 0.000669679 0.180442 36.5465 36.7254 -0.62666 1.08541 57.2092 
-0.0936903 0.162276 -0.000486212 0.000682098 0.180751 36.5526 36.7306 -0.9369 1.62276 84.806 
-0.124345 0.215371 -0.000488788 0.000696178 0.181143 36.5603 36.7372 -1.24344 2.15371 112.048 
-0.154508 0.267616 -0.000491671 0.000711895 0.181646 36.5701 36.7458 -1.54508 2.67616 138.811 
-0.184062 0.318805 -0.000494813 0.000728975 0.182299 36.5827 36.7571 -1.84062 3.18804 164.957 
-0.212889 0.368735 -0.00049808 0.000746657 0.183156 36.599 36.7721 -2.12889 3.68735 190.329 
-0.240877 0.41721 -0.000501173 0.000763306 0.184296 36.6205 36.7923 -2.40876 4.1721 214.72 
-0.267913 0.464039 -0.0005035 0.00077574 0.185829 36.649 36.8198 -2.67913 4.64039 237.836 
-0.293892 0.509037 -0.000503944 0.000778106 0.187918 36.6872 36.8579 -2.93892 5.09036 259.204 
-0.318712 0.552025 -0.000500482 0.00076007 0.190791 36.739 36.911 -3.18712 5.52025 277.984 
-0.342273 0.592835 -0.00048954 0.00070407 0.194779 36.8097 36.986 -3.42273 5.92834 292.612 
-0.364484 0.631305 -0.000465049 0.000581827 0.200343 36.9067 37.0924 -3.64484 6.31305 300.099 
-0.385256 0.667284 -0.000417422 0.00035205 0.208096 37.0395 37.2428 -3.85256 6.67283 294.864 
-0.404508 0.700629 -0.000333879 -3.31779e-05 0.21875 37.2193 37.4522 -4.04508 7.00629 267.371 
-0.422164 0.731209 -0.000204527 -0.000596095 0.232888 37.4559 37.7322 -4.22164 7.31209 204.709 
-0.438153 0.758904 -4.02101e-05 -0.00126332 0.250443 37.7508 38.0787 -4.38153 7.58903 98.2382 
-0.452413 0.783603 0.000108566 -0.00182371 0.270112 38.0884 38.4598 -4.52413 7.83603 -41.3104 
-0.464888 0.80521 0.000174554 -0.0020556 0.289539 38.4343 38.8237 -4.64888 8.0521 -181.362 
-0.475528 0.823639 0.000135862 -0.00193126 0.306505 38.7491 39.1288 -4.75528 8.23639 -291.69 
-0.484292 0.838817 2.83932e-05 -0.00160025 0.319938 39.0076 39.3611 -4.84291 8.38817 -363.999 
-0.491144 0.850686 -9.92272e-05 -0.00122169 0.329881 39.2042 39.5278 -4.91144 8.50686 -406.073 
-0.496057 0.859196 -0.000216612 -0.000882878 0.336939 39.3466 39.6433 -4.96057 8.59196 -428.862 
-0.499013 0.864316 -0.00031242 -0.000611543 0.341823 39.4466 39.7217 -4.99013 8.64316 -440.446 
-0.5 0.866025 -0.000385823 -0.000406332 0.345153 39.5156 39.7743 -5 8.66025 -445.541 
-0.499013 0.864317 -0.000440072 -0.000255985 0.347402 39.5627 39.8094 -4.99013 8.64317 -446.603 
-0.496057 0.859197 -0.00047931 -0.000147877 0.348915 39.5947 39.8327 -4.96057 8.59197 -444.835 
-0.491144 0.850686 -0.000507318 -7.10133e-05 0.349929 39.6163 39.8482 -4.91144 8.50686 -440.816 
-0.484292 0.838818 -0.000527155 -1.67142e-05 0.350609 39.6309 39.8585 -4.84292 8.38818 -434.827 
-0.475528 0.823639 -0.000541157 2.15433e-05 0.351067 39.6408 39.8653 -4.75528 8.23639 -427.012 
-0.464888 0.80521 -0.000551042 4.85215e-05 0.351376 39.6475 39.8699 -4.64888 8.0521 -417.456 
-0.452414 0.783603 -0.000558051 6.76334e-05 0.351587 39.6521 39.8729 -4.52414 7.83604 -406.224 
-0.438153 0.758904 -0.000563063 8.12959e-05 0.351732 39.6553 39.8751 -4.38154 7.58904 -393.37 
-0.422164 0.73121 -0.000566701 9.12064e-05 0.351833 39.6575 39.8765 -4.22164 7.3121 -378.951 
-0.404509 0.70063 -0.000569398 9.85525e-05 0.351906 39.6592 39.8776 -4.04509 7.0063 -363.027 
-0.385257 0.667284 -0.000571459 0.000104164 0.35196 39.6604 39.8783 -3.85257 6.67285 -345.661 
-0.364485 0.631306 -0.000573097 0.000108625 0.352002 39.6613 39.8789 -3.64485 6.31306 -326.923 
-0.342274 0.592836 -0.000574464 0.000112346 0.352036 39.6621 39.8794 -3.42274 5.92836 -306.886 
-0.318712 0.552026 -0.000575669 0.000115626 0.352065 39.6628 39.8798 -3.18712 5.52026 -285.631 
-0.293893 0.509037 -0.000576792 0.000118684 0.352092 39.6634 39.8801 -2.93893 5.09038 -263.242 
-0.267914 0.46404 -0.000577897 0.00012169 0.352119 39.664 39.8805 -2.67914 4.64041 -239.805 
-0.240877 0.417211 -0.000579034 0.000124784 0.352146 39.6646 39.8809 -2.40877 4.17212 -215.415 
-0.21289 0.368736 -0.000580248 0.000128089 0.352175 39.6653 39.8813 -2.1289 3.68737 -190.168 
-0.184063 0.318806 -0.000581584 0.000131723 0.352206 39.666 39.8817 -1.84063 3.18806 -164.162 
-0.154509 0.267617 -0.000583085 0.000135808 0.352242 39.6668 39.8822 -1.54509 2.67618 -137.502 
-0.124345 0.215372 -0.000584803 0.000140482 0.352284 39.6678 39.8828 -1.24346 2.15373 -110.291 
-0.093691 0.162278 -0.000586796 0.000145903 0.352333 39.6689 39.8834 -0.936913 1.62278 -82.6384 
-0.0626669 0.108542 -0.000589136 0.000152267 0.35239 39.6702 39.8842 -0.626672 1.08543 -54.6525 
-0.0313956 0.0543787 -0.000591912 0.000159814 0.35246 39.6717 39.8852 -0.313959 0.543793 -26.4443 
-3.14159e-07 5.4414e-07 -0.000595237 0.000168854 0.352544 39.6736 39.8864 -6.28319e-06 1.08828e-05 1.87454 
0.0313949 -0.0543776 -0.000599258 0.00017978 0.352647 39.676 39.8878 0.313946 -0.543771 30.1917 
0.0626663 -0.108541 -0.000604165 0.000193111 0.352776 39.6788 39.8897 0.62666 -1.08541 58.3943 
0.0936903 -0.162276 -0.00061021 0.000209525 0.352937 39.6824 39.8919 0.9369 -1.62276 86.3695 
0.124345 -0.215371 -0.000617726 0.000229923 0.353141 39.687 39.8949 1.24344 -2.15371 114.004 
0.154508 -0.267616 -0.000627161 0.00025551 0.353404 39.6928 39.8986 1.54508 -2.67616 141.184 
0.184062 -0.318805 -0.000639119 0.000287908 0.353746 39.7004 39.9036 1.84062 -3.18804 167.792 
0.212889 -0.368735 -0.000654418 0.00032931 0.354197 39.7102 39.9102 2.12889 -3.68735 193.709 
