OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-5.9299e-17 -0.968427 2.61157e-18 0.0190709 -2.49001e-16 2.1727 0.968895 -5.92894e-16 -9.6827 333.355 
-6.01405e-17 -0.982169 4.84616e-18 0.0269255 -3.18968e-16 2.46754 0.674056 -6.01333e-16 -9.82051 239.211 
-6.07447e-17 -0.992036 8.25781e-18 0.0366872 -3.72913e-16 2.83396 0.307629 -6.07398e-16 -9.91956 89.8637 
-6.11091e-17 -0.997987 1.22945e-17 0.0473138 -3.76777e-16 3.23285 -0.0912611 -6.11066e-16 -9.97947 -88.5857 
-6.12323e-17 -1 1.58126e-17 0.0572056 -3.24141e-16 3.60416 -0.46257 -6.12323e-16 -9.99999 -243.712 
-6.11139e-17 -0.998066 1.81171e-17 0.0652102 -2.4818e-16 3.90463 -0.763038 -6.11163e-16 -9.98105 -344.84 
-6.07543e-17 -0.992193 1.93783e-17 0.0710901 -1.74966e-16 4.12535 -0.983753 -6.07591e-16 -9.92271 -397.68 
-6.01549e-17 -0.982405 1.99399e-17 0.0751795 -9.58127e-17 4.27885 -1.13726 -6.01621e-16 -9.82522 -420.274 
-5.93182e-17 -0.968739 2.01426e-17 0.0779488 -5.65913e-17 4.3828 -1.24121 -5.93277e-16 -9.68895 -426.551 
-5.82473e-17 -0.95125 2.02456e-17 0.0798035 -5.33412e-17 4.45242 -1.31083 -5.82591e-16 -9.51444 -424.252 
-5.69465e-17 -0.930008 2.03143e-17 0.0810422 -5.52813e-17 4.49892 -1.35732 -5.69607e-16 -9.30238 -417.152 
-5.5421e-17 -0.905094 2.03648e-17 0.0818708 -7.39344e-17 4.53002 -1.38843 -5.54374e-16 -9.05361 -407.002 
-5.36768e-17 -0.876609 2.04153e-17 0.0824276 -1.03432e-16 4.55092 -1.40933 -5.36953e-16 -8.76911 -394.614 
-5.17208e-17 -0.844664 2.04575e-17 0.0828041 -1.26166e-16 4.56505 -1.42346 -5.17414e-16 -8.45001 -380.381 
-4.95606e-17 -0.809386 2.04931e-17 0.0830608 -1.41833e-16 4.57469 -1.4331 -4.95832e-16 -8.09755 -364.511 
-4.72048e-17 -0.770914 2.05176e-17 0.0832374 -1.46103e-16 4.58132 -1.43972 -4.72293e-16 -7.71314 -347.137 
-4.46628e-17 -0.729399 2.05367e-17 0.0833602 -1.68145e-16 4.58593 -1.44433 -4.46891e-16 -7.29828 -328.357 
