One group  442
-0.628319 0.314159 -70.4029 
-0.628319 0.628319 -64.7214 
-0.628319 0.942478 -55.8721 
-0.628319 1.25664 -44.7214 
-0.628319 1.5708 -32.3607 
-0.628319 1.88496 -20 
-0.628319 2.19911 -8.84927 
-0.628319 2.51327 -7.10543e-15 
-0.628319 2.82743 5.68158 
-0.628319 3.14159 7.63932 
-0.314159 -3.14159 1.95774 
-0.314159 -2.82743 0 
-0.314159 -2.51327 -5.68158 
-0.314159 -2.19911 -14.5309 
-0.314159 -1.88496 -25.6816 
-0.314159 -1.5708 -38.0423 
-0.314159 -1.25664 -50.4029 
-0.314159 -0.942478 -61.5537 
-0.314159 -0.628319 -70.4029 
-0.314159 -0.314159 -76.0845 
-0.314159 0 -78.0423 
-0.314159 0.314159 -76.0845 
-0.314159 0.628319 -70.4029 
-0.314159 0.942478 -61.5537 
-0.314159 1.25664 -50.4029 
-0.314159 1.5708 -38.0423 
-0.314159 1.88496 -25.6816 
-0.314159 2.19911 -14.5309 
-0.314159 2.51327 -5.68158 
-0.314159 2.82743 0 
-0.314159 3.14159 1.95774 
0 -3.14159 0 
0 -2.82743 -1.95774 
0 -2.51327 -7.63932 
0 -2.19911 -16.4886 
0 -1.88496 -27.6393 
0 -1.5708 -40 
0 -1.25664 -52.3607 
0 -0.942478 -63.5114 
0 -0.628319 -72.3607 
0 -0.314159 -78.0423 
0 0 -80 
0 0.314159 -78.0423 
0 0.628319 -72.3607 
0 0.942478 -63.5114 
0 1.25664 -52.3607 
0 1.5708 -40 
0 1.88496 -27.6393 
0 2.19911 -16.4886 
0 2.51327 -7.63932 
0 2.82743 -1.95774 
0 3.14159 0 
0.314159 -3.14159 1.95774 
0.314159 -2.82743 0 
0.314159 -2.51327 -5.68158 
0.314159 -2.19911 -14.5309 
0.314159 -1.88496 -25.6816 
0.314159 -1.5708 -38.0423 
0.314159 -1.25664 -50.4029 
0.314159 -0.942478 -61.5537 
0.314159 -0.628319 -70.4029 
0.314159 -0.314159 -76.0845 
0.314159 0 -78.0423 
0.314159 0.314159 -76.0845 
0.314159 0.628319 -70.4029 
0.314159 0.942478 -61.5537 
0.314159 1.25664 -50.4029 
0.314159 1.5708 -38.0423 
0.314159 1.88496 -25.6816 
0.314159 2.19911 -14.5309 
0.314159 2.51327 -5.68158 
0.314159 2.82743 0 
0.314159 3.14159 1.95774 
0.628319 -3.14159 7.63932 
0.628319 -2.82743 5.68158 
0.628319 -2.51327 -7.10543e-15 
0.628319 -2.19911 -8.84927 
0.628319 -1.88496 -20 
0.628319 -1.5708 -32.3607 
0.628319 -1.25664 -44.7214 
0.628319 -0.942478 -55.8721 
0.628319 -0.628319 -64.7214 
0.628319 -0.314159 -70.4029 
0.628319 0 -72.3607 
0.628319 0.314159 -70.4029 
0.628319 0.628319 -64.7214 
0.628319 0.942478 -55.8721 
0.628319 1.25664 -44.7214 
0.628319 1.5708 -32.3607 
0.628319 1.88496 -20 
0.628319 2.19911 -8.84927 
0.628319 2.51327 -7.10543e-15 
0.628319 2.82743 5.68158 
0.628319 3.14159 7.63932 
0.942478 -3.14159 16.4886 
0.942478 -2.82743 14.5309 
0.942478 -2.51327 8.84927 
0.942478 -2.19911 -7.10543e-15 
0.942478 -1.88496 -11.1507 
0.942478 -1.5708 -23.5114 
0.942478 -1.25664 -35.8721 
0.942478 -0.942478 -47.0228 
0.942478 -0.628319 -55.8721 
0.942478 -0.314159 -61.5537 
0.942478 0 -63.5114 
0.942478 0.314159 -61.5537 
0.942478 0.628319 -55.8721 
0.942478 0.942478 -47.0228 
0.942478 1.25664 -35.8721 
0.942478 1.5708 -23.5114 
0.942478 1.88496 -11.1507 
0.942478 2.19911 -7.10543e-15 
0.942478 2.51327 8.84927 
0.942478 2.82743 14.5309 
0.942478 3.14159 16.4886 
1.25664 -3.14159 27.6393 
1.25664 -2.82743 25.6816 
1.25664 -2.51327 20 
1.25664 -2.19911 11.1507 
1.25664 -1.88496 -3.55271e-15 
1.25664 -1.5708 -12.3607 
1.25664 -1.25664 -24.7214 
1.25664 -0.942478 -35.8721 
1.25664 -0.628319 -44.7214 
1.25664 -0.314159 -50.4029 
1.25664 0 -52.3607 
1.25664 0.314159 -50.4029 
1.25664 0.628319 -44.7214 
1.25664 0.942478 -35.8721 
1.25664 1.25664 -24.7214 
1.25664 1.5708 -12.3607 
1.25664 1.88496 -3.55271e-15 
1.25664 2.19911 11.1507 
1.25664 2.51327 20 
1.25664 2.82743 25.6816 
1.25664 3.14159 27.6393 
1.5708 -3.14159 40 
1.5708 -2.82743 38.0423 
1.5708 -2.51327 32.3607 
1.5708 -2.19911 23.5114 
1.5708 -1.88496 12.3607 
1.5708 -1.5708 -4.89859e-15 
1.5708 -1.25664 -12.3607 
1.5708 -0.942478 -23.5114 
1.5708 -0.628319 -32.3607 
1.5708 -0.314159 -38.0423 
1.5708 0 -40 
1.5708 0.314159 -38.0423 
1.5708 0.628319 -32.3607 
1.5708 0.942478 -23.5114 
1.5708 1.25664 -12.3607 
1.5708 1.5708 -4.89859e-15 
